Age,Age_Group,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating,Income_K,Loan_Amount_K,Assets_Value_K,Debt_to_Income_Bin
47,41-50,Female,High School,Single,33065.0,783.0,6895.0,Auto,Self-employed,2,Fair,0.116680915530773,158428.0,3.0,West Sharon,AL,Seychelles,2.0,0,Low,33.065,6.895,158.428,0.1-0.2
64,>50,Male,Master's,Single,,,,Personal,Unemployed,16,Excellent,0.45848135096737,108664.0,,Lake Joshuahaven,MO,Sao Tome and Principe,,1,Low,,,108.664,0.4-0.5
35,31-40,Female,High School,Single,101496.0,715.0,16971.0,Home,Employed,17,Fair,0.533787309523946,271400.0,1.0,Michaelburgh,TX,Anguilla,,0,Medium,101.496,16.971,271.4,
35,31-40,Female,PhD,Divorced,42787.0,,14949.0,Home,Employed,19,Excellent,0.224991082958487,227655.0,4.0,West Donna,WY,Svalbard & Jan Mayen Islands,2.0,2,Low,42.787,14.949,227.655,0.2-0.3
18,<20,Female,Master's,Divorced,,748.0,14522.0,Home,Unemployed,14,Good,0.562809957836106,176629.0,,Campbellfort,AL,China,1.0,2,Low,,14.522,176.629,
21,21-30,Male,Bachelor's,Widowed,73952.0,631.0,49525.0,Auto,Unemployed,3,Excellent,0.143644090621215,32912.0,0.0,West Denisebury,KY,French Guiana,1.0,2,Low,73.952,49.525,32.912,0.1-0.2
67,>50,Non-binary,Master's,Divorced,54247.0,,5011.0,Personal,Unemployed,7,Excellent,0.344651883288013,239162.0,3.0,Mataside,AZ,Iceland,0.0,0,Low,54.247,5.011,239.162,0.3-0.4
49,41-50,Male,Bachelor's,Married,85689.0,,,Personal,Unemployed,2,Excellent,0.336009426789292,232433.0,0.0,Camposland,WA,Niue,0.0,0,Medium,85.689,,232.433,0.3-0.4
30,21-30,Female,Bachelor's,Divorced,59593.0,691.0,,Business,Unemployed,8,Good,0.424079452931971,279118.0,3.0,Mckeeborough,RI,Martinique,2.0,0,Low,59.593,,279.118,0.4-0.5
28,21-30,Non-binary,Bachelor's,Married,69237.0,,46898.0,Personal,Employed,12,Excellent,0.516255497177838,89494.0,1.0,Conniehaven,VT,Tajikistan,3.0,2,Low,69.237,46.898,89.494,
65,>50,Male,PhD,Widowed,77146.0,796.0,38386.0,Business,Self-employed,17,Fair,0.323186386354541,262145.0,0.0,Johnsonside,LA,Vietnam,4.0,1,Medium,77.146,38.386,262.145,0.3-0.4
68,>50,Female,PhD,Single,59300.0,,34783.0,Auto,Employed,3,Excellent,0.235760539366425,270400.0,,West Patrick,WY,Bouvet Island (Bouvetoya),0.0,2,Low,59.3,34.783,270.4,0.2-0.3
59,>50,Non-binary,Bachelor's,Married,82233.0,,45345.0,Personal,Self-employed,9,Poor,0.471530628885448,208180.0,1.0,South Heather,DE,Kuwait,4.0,1,Low,82.233,45.345,208.18,0.4-0.5
39,31-40,Non-binary,PhD,Single,93509.0,703.0,16651.0,Auto,Unemployed,5,Fair,0.528582348302681,270036.0,0.0,North Joshuaborough,MI,Falkland Islands (Malvinas),0.0,0,Medium,93.509,16.651,270.036,
64,>50,Non-binary,Bachelor's,Married,,763.0,,Business,Employed,6,Fair,0.302038878288998,272412.0,2.0,Williamston,WV,British Indian Ocean Territory (Chagos Archipelago),1.0,0,Low,,,272.412,0.3-0.4
69,>50,Non-binary,High School,Divorced,,721.0,39416.0,Personal,Unemployed,4,Excellent,0.41804562248879,80601.0,,Herrerafurt,RI,Holy See (Vatican City State),2.0,1,Medium,,39.416,80.601,0.4-0.5
29,21-30,Male,Bachelor's,Divorced,85164.0,710.0,14441.0,Personal,Unemployed,2,Poor,0.257828552554541,64687.0,1.0,South Austinhaven,HI,Niue,,0,Medium,85.164,14.441,64.687,0.2-0.3
47,41-50,Male,High School,Widowed,119747.0,613.0,26507.0,Business,Self-employed,10,Good,0.464924829888792,221402.0,,Rickymouth,CO,Sao Tome and Principe,1.0,0,Medium,119.747,26.507,221.402,0.4-0.5
27,21-30,Non-binary,Bachelor's,Married,93728.0,727.0,,Auto,Unemployed,11,Poor,0.407184509422176,203446.0,1.0,West Davidchester,AS,Singapore,,1,Low,93.728,,203.446,0.4-0.5
54,>50,Non-binary,PhD,Married,100908.0,764.0,,Business,Employed,18,Fair,0.240809218996796,250753.0,3.0,East Adam,MH,Georgia,,0,Medium,100.908,,250.753,0.2-0.3
67,>50,Male,PhD,Widowed,,608.0,12657.0,Business,Unemployed,18,Good,0.46576018529692,107089.0,1.0,East Anthony,ND,Guam,0.0,0,Medium,,12.657,107.089,0.4-0.5
36,31-40,Male,Bachelor's,Divorced,29868.0,635.0,12521.0,Auto,Employed,17,Excellent,0.350454133246252,240325.0,2.0,Wendyshire,ND,Dominica,4.0,0,Low,29.868,12.521,240.325,0.3-0.4
36,31-40,Female,Master's,Married,68776.0,612.0,47707.0,Personal,Unemployed,11,Fair,0.332396791046259,68491.0,0.0,Port Christopher,NY,Brunei Darussalam,1.0,1,Low,68.776,47.707,68.491,0.3-0.4
54,>50,Female,Bachelor's,Married,98669.0,720.0,19464.0,Business,Unemployed,2,Poor,0.167904091491963,26571.0,0.0,Smithview,IA,French Polynesia,1.0,0,High,98.669,19.464,26.571,0.1-0.2
19,<20,Non-binary,Master's,Single,112545.0,712.0,15503.0,Home,Unemployed,7,Poor,0.252172854016853,194154.0,0.0,Ibarraport,NJ,Zimbabwe,4.0,0,Low,112.545,15.503,194.154,0.2-0.3
39,31-40,Non-binary,PhD,Widowed,118717.0,647.0,10656.0,Home,Self-employed,12,Poor,0.185634503764309,168504.0,1.0,Dennismouth,WY,Serbia,,2,Low,118.717,10.656,168.504,0.1-0.2
48,41-50,Male,Bachelor's,Single,,649.0,38575.0,Home,Self-employed,3,Fair,0.430090517573071,143440.0,3.0,Kimstad,CT,Taiwan,0.0,0,Medium,,38.575,143.44,0.4-0.5
64,>50,Male,Bachelor's,Single,52822.0,636.0,37391.0,Business,Employed,12,Excellent,0.498698763200906,,,Johnsonbury,WV,Pakistan,1.0,1,Medium,52.822,37.391,,0.4-0.5
44,41-50,Non-binary,PhD,Widowed,51280.0,750.0,22162.0,Home,Employed,11,Excellent,0.550130495034556,87579.0,3.0,East Danielmouth,AS,Haiti,1.0,2,Medium,51.28,22.162,87.579,
55,>50,Female,Bachelor's,Divorced,63915.0,,10084.0,Personal,Employed,7,Good,0.36239744623196,,2.0,Wilsonton,MH,San Marino,1.0,0,High,63.915,10.084,,0.3-0.4
34,31-40,Female,Master's,Widowed,67046.0,,11753.0,Personal,Unemployed,12,Fair,0.319500175262378,90851.0,,Hinesberg,DE,Kazakhstan,0.0,2,Low,67.046,11.753,90.851,0.3-0.4
65,>50,Male,Master's,Divorced,106526.0,650.0,23161.0,Auto,Employed,19,Poor,0.544867396843896,98025.0,4.0,Richardbury,ID,Armenia,0.0,0,Low,106.526,23.161,98.025,
68,>50,Non-binary,Master's,Married,,700.0,23834.0,Auto,Employed,1,Excellent,0.168123708744042,147082.0,4.0,Johnsonview,IL,Netherlands,2.0,0,Low,,23.834,147.082,0.1-0.2
47,41-50,Female,Bachelor's,Divorced,91691.0,,42140.0,Auto,Unemployed,7,Fair,0.568474244522553,235362.0,,Andrewside,TX,Greece,1.0,0,Medium,91.691,42.14,235.362,
20,<20,Male,Master's,Widowed,,692.0,16283.0,Home,Self-employed,4,Good,0.466075526140778,144758.0,3.0,New Laurabury,MA,Somalia,1.0,1,Low,,16.283,144.758,0.4-0.5
36,31-40,Non-binary,Bachelor's,Widowed,37105.0,720.0,33259.0,Home,Employed,7,Fair,0.412777027635851,294048.0,2.0,Yvonneland,NY,Brunei Darussalam,3.0,1,Medium,37.105,33.259,294.048,0.4-0.5
62,>50,Female,Bachelor's,Single,31063.0,793.0,,Personal,Self-employed,7,Good,0.143936100974125,226298.0,1.0,South Darrell,VI,Latvia,,1,Low,31.063,,226.298,0.1-0.2
35,31-40,Female,High School,Married,,,9833.0,Personal,Self-employed,17,Fair,0.155495082054733,131120.0,2.0,Cynthiashire,CO,Mexico,,0,High,,9.833,131.12,0.1-0.2
66,>50,Female,Bachelor's,Single,,,23993.0,Personal,Self-employed,19,Poor,0.150792728571523,60925.0,2.0,Thomasmouth,MP,French Southern Territories,,2,Low,,23.993,60.925,0.1-0.2
50,41-50,Non-binary,Master's,Single,56108.0,796.0,,Personal,Self-employed,4,Excellent,0.111494703303079,97144.0,2.0,Michelleland,CO,Kazakhstan,3.0,1,High,56.108,,97.144,0.1-0.2
31,31-40,Female,Bachelor's,Married,69625.0,636.0,15188.0,Home,Unemployed,19,Excellent,0.50663437349166,,0.0,Davisport,NJ,Sao Tome and Principe,1.0,0,Low,69.625,15.188,,
38,31-40,Non-binary,Master's,Divorced,82093.0,726.0,20454.0,Home,Self-employed,5,Good,0.190221958936544,39434.0,2.0,East Brian,PW,South Africa,,0,High,82.093,20.454,39.434,0.1-0.2
39,31-40,Female,Master's,Widowed,100015.0,615.0,23114.0,Business,Unemployed,14,Poor,0.484642490520511,85309.0,0.0,New Meganshire,NV,French Polynesia,3.0,0,Low,100.015,23.114,85.309,0.4-0.5
50,41-50,Female,Master's,Divorced,96293.0,708.0,21552.0,Auto,Employed,3,Excellent,0.129394209722834,255942.0,4.0,Port Amy,FM,Egypt,0.0,1,Low,96.293,21.552,255.942,0.1-0.2
49,41-50,Non-binary,Bachelor's,Single,30680.0,,24840.0,Auto,Self-employed,5,Excellent,0.243023798308884,101996.0,,Port Rebecca,CA,Svalbard & Jan Mayen Islands,3.0,1,Low,30.68,24.84,101.996,0.2-0.3
24,21-30,Male,Bachelor's,Single,,627.0,,Personal,Self-employed,12,Fair,0.255696687514904,147499.0,3.0,East Helenhaven,VT,French Southern Territories,4.0,2,Low,,,147.499,0.2-0.3
23,21-30,Male,Bachelor's,Married,62541.0,680.0,,Business,Employed,8,Excellent,0.244546544798204,,4.0,Port Joseph,RI,San Marino,,2,Medium,62.541,,,0.2-0.3
38,31-40,Non-binary,Bachelor's,Single,48069.0,670.0,17841.0,Home,Unemployed,17,Excellent,0.157519127140882,241550.0,2.0,Jacksonmouth,WA,Jordan,0.0,2,Low,48.069,17.841,241.55,0.1-0.2
28,21-30,Female,High School,Married,56895.0,,,Personal,Self-employed,14,Poor,0.227617323964186,128403.0,2.0,North Marcbury,WA,Turkey,1.0,1,Low,56.895,,128.403,0.2-0.3
35,31-40,Female,PhD,Married,72433.0,792.0,5747.0,Business,Self-employed,4,Good,0.327373934577552,112076.0,0.0,Andreaborough,NC,Thailand,3.0,2,Low,72.433,5.747,112.076,0.3-0.4
50,41-50,Non-binary,PhD,Divorced,,640.0,47751.0,Auto,Self-employed,10,Fair,0.343555167321726,,3.0,Cynthiabury,DC,Zimbabwe,4.0,0,Medium,,47.751,,0.3-0.4
56,>50,Female,Master's,Single,,734.0,40516.0,Auto,Self-employed,9,Poor,0.378206874737254,203231.0,1.0,New Zachary,IN,Swaziland,3.0,1,Low,,40.516,203.231,0.3-0.4
22,21-30,Non-binary,Master's,Widowed,65266.0,617.0,34746.0,Home,Unemployed,18,Poor,0.26894428062818,40215.0,4.0,Taylormouth,ND,Botswana,1.0,1,Low,65.266,34.746,40.215,0.2-0.3
40,31-40,Male,Master's,Widowed,98578.0,663.0,8747.0,Auto,Self-employed,1,Good,0.514670636860697,37396.0,0.0,Jacobview,WV,Russian Federation,0.0,1,Low,98.578,8.747,37.396,
39,31-40,Male,High School,Married,90227.0,770.0,18079.0,Business,Employed,3,Poor,0.518758953700694,163838.0,1.0,South Brianna,GU,Mali,0.0,1,Low,90.227,18.079,163.838,
31,31-40,Non-binary,High School,Divorced,107081.0,740.0,18101.0,Business,Employed,5,Poor,0.108793817126224,25157.0,2.0,Gordonbury,AL,Ukraine,1.0,2,Low,107.081,18.101,25.157,0.1-0.2
45,41-50,Female,High School,Widowed,82878.0,748.0,17023.0,Auto,Self-employed,19,Poor,0.58491125726242,192705.0,4.0,Penamouth,NH,Ethiopia,4.0,1,Low,82.878,17.023,192.705,
62,>50,Non-binary,Bachelor's,Widowed,46439.0,645.0,,Auto,Employed,6,Poor,0.443604125471908,277288.0,,East Kevinmouth,VI,Togo,,2,Low,46.439,,277.288,0.4-0.5
34,31-40,Non-binary,High School,Widowed,44085.0,687.0,,Home,Unemployed,9,Poor,0.44893789146698,253262.0,2.0,Lake Ashleyland,AR,Belize,0.0,1,Low,44.085,,253.262,0.4-0.5
19,<20,Male,High School,Married,35817.0,731.0,44426.0,Home,Unemployed,1,Fair,0.505459746503681,20626.0,1.0,East Triciatown,WI,Angola,0.0,2,Low,35.817,44.426,20.626,
49,41-50,Non-binary,Bachelor's,Married,54648.0,,20427.0,Personal,Unemployed,8,Fair,0.121472994816934,276619.0,1.0,West Mirandaborough,MA,Anguilla,4.0,0,Medium,54.648,20.427,276.619,0.1-0.2
36,31-40,Female,High School,Married,65104.0,699.0,44260.0,Home,Employed,2,Excellent,0.337761725047992,135458.0,4.0,Zacharyhaven,NM,Guatemala,2.0,2,Low,65.104,44.26,135.458,0.3-0.4
43,41-50,Male,PhD,Married,109698.0,793.0,46500.0,Personal,Self-employed,11,Good,0.347851155439545,159076.0,,Tristanland,AZ,United States Minor Outlying Islands,1.0,1,Medium,109.698,46.5,159.076,0.3-0.4
23,21-30,Male,Bachelor's,Single,28906.0,724.0,24532.0,Business,Unemployed,3,Poor,0.500613650535156,96640.0,2.0,Lake Evelynstad,CA,Monaco,0.0,0,Low,28.906,24.532,96.64,
22,21-30,Male,Master's,Widowed,104766.0,764.0,16117.0,Business,Unemployed,17,Good,0.211525061214793,156630.0,3.0,New Shannonberg,KY,Gambia,3.0,1,Low,104.766,16.117,156.63,0.2-0.3
41,41-50,Female,Master's,Widowed,79556.0,742.0,5235.0,Home,Employed,5,Excellent,0.322356138956561,247857.0,0.0,Onealfurt,WA,Romania,4.0,0,Low,79.556,5.235,247.857,0.3-0.4
57,>50,Male,Master's,Single,116102.0,629.0,31831.0,Home,Employed,16,Excellent,0.51636251274535,228018.0,4.0,Smithborough,IA,Palestinian Territory,2.0,0,Medium,116.102,31.831,228.018,
31,31-40,Female,PhD,Widowed,105141.0,,41006.0,Auto,Self-employed,3,Good,0.162774177929381,26499.0,3.0,Traceyton,SD,Suriname,1.0,2,Low,105.141,41.006,26.499,0.1-0.2
58,>50,Non-binary,High School,Widowed,20947.0,776.0,38756.0,Personal,Unemployed,0,Good,0.218403224267513,91848.0,4.0,North Jeff,MT,Burundi,,1,Low,20.947,38.756,91.848,0.2-0.3
36,31-40,Non-binary,PhD,Single,,660.0,11157.0,Home,Self-employed,7,Excellent,0.297577945186095,,2.0,Diazton,WV,Guatemala,2.0,0,Medium,,11.157,,0.2-0.3
52,>50,Male,High School,Married,32094.0,634.0,17612.0,Home,Self-employed,17,Good,0.549456543892967,114375.0,2.0,West Robert,IA,Singapore,2.0,0,Medium,32.094,17.612,114.375,
22,21-30,Female,High School,Single,67984.0,,49459.0,Business,Employed,12,Fair,0.134829810277351,174044.0,3.0,West Daniel,MS,Malawi,,0,Medium,67.984,49.459,174.044,0.1-0.2
55,>50,Non-binary,Master's,Widowed,108177.0,735.0,23616.0,Business,Employed,12,Fair,0.33528435621267,165613.0,2.0,Barneston,CA,Saint Pierre and Miquelon,1.0,2,Medium,108.177,23.616,165.613,0.3-0.4
44,41-50,Female,High School,Divorced,30295.0,686.0,,Home,Unemployed,19,Good,0.252783310578511,,0.0,East Ian,PW,Costa Rica,0.0,2,Low,30.295,,,0.2-0.3
41,41-50,Female,PhD,Widowed,96591.0,722.0,7260.0,Home,Employed,12,Fair,0.584494809443368,102681.0,0.0,New Shelby,KS,Lesotho,2.0,2,Medium,96.591,7.26,102.681,
33,31-40,Male,PhD,Single,,624.0,47874.0,Personal,Employed,13,Excellent,0.455208342573532,28057.0,1.0,North Jodyside,NM,Brazil,,1,Low,,47.874,28.057,0.4-0.5
40,31-40,Male,Master's,Married,83865.0,663.0,15896.0,Auto,Unemployed,6,Excellent,0.358704651007803,,3.0,West Jeffrey,MT,India,0.0,2,Low,83.865,15.896,,0.3-0.4
53,>50,Female,High School,Married,51236.0,718.0,31196.0,Personal,Self-employed,3,Poor,0.168630607353881,45029.0,1.0,Ellenbury,AS,Uruguay,,1,Low,51.236,31.196,45.029,0.1-0.2
18,<20,Non-binary,Master's,Single,,651.0,18653.0,Home,Self-employed,16,Good,0.492229950007739,226806.0,0.0,Curtisville,PW,Mayotte,3.0,1,High,,18.653,226.806,0.4-0.5
37,31-40,Non-binary,High School,Divorced,42970.0,703.0,,Personal,Employed,12,Poor,0.358687273468885,,,East Jesse,PW,Finland,1.0,2,Medium,42.97,,,0.3-0.4
36,31-40,Non-binary,PhD,Divorced,101863.0,688.0,31132.0,Business,Employed,2,Poor,0.219403113679808,149141.0,3.0,Dunnhaven,MN,Saint Pierre and Miquelon,,2,Low,101.863,31.132,149.141,0.2-0.3
67,>50,Male,Master's,Widowed,107366.0,655.0,20154.0,Home,Employed,9,Poor,0.41661786751196,108345.0,4.0,New Valerie,GA,Monaco,4.0,1,Low,107.366,20.154,108.345,0.4-0.5
62,>50,Female,PhD,Widowed,101848.0,699.0,45635.0,Home,Self-employed,7,Poor,0.591653333113722,,,Payneville,NH,Kuwait,,2,High,101.848,45.635,,
60,>50,Female,PhD,Married,74030.0,711.0,9459.0,Personal,Unemployed,19,Fair,0.160676888017825,96641.0,2.0,Lake Daniel,PW,Argentina,0.0,2,Low,74.03,9.459,96.641,0.1-0.2
39,31-40,Male,Master's,Divorced,56116.0,636.0,16578.0,Personal,Employed,12,Excellent,0.313107732268164,197835.0,1.0,Johnnyberg,NY,South Africa,1.0,0,Medium,56.116,16.578,197.835,0.3-0.4
59,>50,Male,PhD,Single,103794.0,,9288.0,Auto,Unemployed,2,Excellent,0.412109477731848,195205.0,,Williamsport,WV,Paraguay,2.0,1,Low,103.794,9.288,195.205,0.4-0.5
50,41-50,Male,Bachelor's,Married,79300.0,697.0,26963.0,Home,Employed,1,Good,0.216722419253377,,,New Derekmouth,MH,Mozambique,0.0,1,Low,79.3,26.963,,0.2-0.3
64,>50,Male,PhD,Single,101855.0,686.0,48584.0,Auto,Self-employed,9,Good,0.572524405950802,138039.0,3.0,East Keith,MS,El Salvador,3.0,1,Low,101.855,48.584,138.039,
40,31-40,Male,PhD,Single,89535.0,624.0,12990.0,Auto,Unemployed,6,Good,0.117355071393355,48187.0,,South Haileyview,NC,Suriname,3.0,2,Low,89.535,12.99,48.187,0.1-0.2
18,<20,Non-binary,PhD,Divorced,107329.0,735.0,22694.0,Home,Self-employed,1,Poor,0.232809019850618,71327.0,4.0,East Michael,MP,Netherlands Antilles,,1,Low,107.329,22.694,71.327,0.2-0.3
42,41-50,Non-binary,Master's,Widowed,61048.0,,17631.0,Business,Employed,19,Excellent,0.266383746858607,252248.0,1.0,Strongport,OH,Russian Federation,3.0,0,Low,61.048,17.631,252.248,0.2-0.3
39,31-40,Non-binary,High School,Widowed,99622.0,720.0,23158.0,Auto,Employed,6,Good,0.41981392841733,65046.0,4.0,New Ashley,MN,El Salvador,2.0,1,Low,99.622,23.158,65.046,0.4-0.5
